city,attr,city_eng
四川省_南充市,268.0720929,Nanchong
西藏自治区_拉萨市,182.8432965,Lhasa
江西省_萍乡市,103.5903168,Pingxiang
江西省_景德镇市,118.87686940000002,Jingdezhen
江西省_赣州市,272.5074841,Ganzhou
江西省_鹰潭市,196.5203656,Yingtan
江西省_新余市,83.25730546,Xinyu
江西省_九江市,219.1133409,Jiujiang
江西省_宜春市,190.588721,Yichun
江西省_吉安市,173.195005,Ji'an
陕西省_商洛市,127.64339790000001,Shangluo
山西省_吕梁市,283.36991889999996,Lvliang
江苏省_连云港市,102.0584137,Lianyungang
江苏省_苏州市,363.97531499999997,Suzhou
江苏省_盐城市,276.8756498,Yancheng
广东省_广州市,696.9369769,Guangzhou
陕西省_安康市,91.42027393,Ankang
陕西省_榆林市,141.2253268,Yulin
陕西省_宝鸡市,215.20059680000003,Baoji
陕西省_西安市,758.3129882000001,Xi'an
陕西省_延安市,192.2223239,Yan'an
陕西省_渭南市,289.5327875,Weinan
陕西省_咸阳市,123.2102662,Xianyang
河南省_济源市,140.61617769999998,Jiyuan
浙江省_绍兴市,185.0704426,Shaoxing
湖南省_湘潭市,120.01122279999998,Xiangtan
湖南省_长沙市,729.2497904,Changsha
湖南省_常德市,284.996893,Changde
湖南省_岳阳市,118.1684317,Yueyang
湖南省_邵阳市,109.25880559999999,Shaoyang
湖南省_衡阳市,136.26468480000003,Hengyang
山东省_济宁市,262.73232110000004,Jining
山东省_泰安市,188.88307450000002,Tai'an
山东省_青岛市,529.0696383000001,Qingdao
山东省_淄博市,139.8045618,Zibo
山东省_济南市,276.1367076,Jinan
山东省_烟台市,81.51945316,Yantai
山东省_潍坊市,220.33788700000002,Weifang
山东省_枣庄市,96.82101112,Zaozhuang
山东省_东营市,119.77092990000001,Dongying
湖南省_郴州市,241.3895804,Chenzhou
甘肃省_陇南市,142.50919059999998,Longnan
甘肃省_定西市,217.7686465,Dingxi
陕西省_汉中市,241.01201,Hanzhong
广西壮族自治区_百色市,133.01424540000002,Baise
广西壮族自治区_贺州市,127.1633672,Hezhou
山西省_太原市,270.5972428,Taiyuan
湖北省_荆门市,157.08974419999998,Jingmen
湖北省_孝感市,152.5057747,Xiaogan
湖北省_黄石市,65.57258912,Huangshi
湖北省_十堰市,157.04952409999999,Shiyan
湖北省_武汉市,758.0637287999999,Wuhan
湖北省_襄阳市,135.2909982,Xiangyang
湖北省_鄂州市,19.63914386,Ezhou
湖北省_宜昌市,164.43420930000002,Yichang
黑龙江省_双鸭山市,137.1103406,Shuangyashan
黑龙江省_鹤岗市,130.30994579999998,Hegang
黑龙江省_伊春市,49.63280934,Yichun
黑龙江省_大庆市,235.0863599,Daqing
黑龙江省_哈尔滨市,271.4684749,Harbin
黑龙江省_鸡西市,141.75873,Jixi
黑龙江省_齐齐哈尔市,86.74657109999998,Qiqihar
